Index	RecordTime	VideoTime	MI
905	90.5	228.2	5.96775
906	90.6	228.3	5.41895
907	90.7	228.4	6.60601
908	90.8	228.5	5.59106
909	90.9	228.6	7.1645
910	91	228.7	6.06617
911	91.1	228.8	7.17259
912	91.2	228.9	6.01989
913	91.3	229	7.11109
914	91.4	229.1	6.78433
915	91.5	229.2	7.32802
916	91.6	229.3	6.24737
917	91.7	229.4	7.65602
918	91.8	229.5	6.38253
919	91.9	229.6	8.06645
920	92	229.7	6.50326
921	92.1	229.8	7.43867
922	92.2	229.9	5.81128
923	92.3	230	8.12377
924	92.4	230.1	6.91876
925	92.5	230.2	7.62577
926	92.6	230.3	5.93037
927	92.7	230.4	7.46058
928	92.8	230.5	5.69533
929	92.9	230.6	6.30259
930	93	230.7	5.36009
931	93.1	230.8	7.56647
932	93.2	230.9	5.90306
933	93.3	231	6.60196
934	93.4	231.1	5.71488
935	93.5	231.2	6.72944
936	93.6	231.3	5.07677
937	93.7	231.4	5.61419
938	93.8	231.5	5.34516
939	93.9	231.6	6.34318
940	94	231.7	5.93147
941	94.1	231.8	6.22558
942	94.2	231.9	5.62792
943	94.3	232	6.74754
944	94.4	232.1	5.30736
945	94.5	232.2	6.61561
946	94.6	232.3	5.65881
947	94.7	232.4	6.84218
948	94.8	232.5	5.30664
949	94.9	232.6	6.29916
950	95	232.7	5.82535
951	95.1	232.8	6.36163
