Time	X	Y
104.4	4.5	32.6757
104.5	4.90179	32.1081
104.6	4.82143	32.1081
104.7	4.90179	32.1892
104.8	4.90179	32.2703
104.9	4.98214	32.2703
105	4.90179	32.1892
105.1	4.90179	32.1081
105.2	5.0625	32.2703
105.3	5.14286	32.3514
105.4	5.14286	32.3514
105.5	5.22321	32.4324
105.6	5.22321	32.5135
105.7	4.98214	32.7568
105.8	4.66071	33.0811
105.9	4.66071	33.0811
106	4.74107	33.2432
106.1	4.74107	33.2432
106.2	4.98214	33.3243
106.3	5.0625	33.3243
106.4	5.30357	33.4054
106.5	5.38393	33.4054
106.6	5.38393	33.4054
106.7	5.46429	33.3243
106.8	5.54464	33.3243
106.9	5.46429	33.4054
107	5.30357	33.4054
107.1	5.38393	33
107.2	5.22321	32.6757
107.3	5.22321	32.6757
107.4	4.98214	32.3514
107.5	4.33929	31.7027
107.6	4.17857	31.3784
107.7	4.25893	31.4595
107.8	4.25893	31.5405
107.9	4.25893	31.5405
108	4.25893	31.4595
108.1	4.09821	31.2973
108.2	3.85714	31.1351
108.3	3.45536	30.7297
108.4	3.21429	30.4054
108.5	3.05357	30.1622
108.6	3.05357	30.1622
108.7	3.05357	30.0811
108.8	2.97321	29.9189
108.9	2.8125	29.7568
109	2.73214	29.5135
109.1	2.8125	29.3514
109.2	2.8125	29.3514
109.3	2.89286	29.3514
109.4	2.89286	29.3514
109.5	2.89286	29.3514
109.6	2.89286	29.3514
109.7	2.8125	29.2703
109.8	2.8125	29.2703
109.9	2.8125	29.2703
110	2.8125	29.2703
110.1	2.8125	29.2703
110.2	2.8125	29.1081
110.3	2.8125	29.1081
110.4	2.8125	29.1081
110.5	2.8125	29.1081
110.6	2.8125	29.1081
110.7	2.8125	29.1081
110.8	2.89286	29.1892
110.9	2.89286	29.1892
111	2.89286	29.1892
111.1	2.89286	29.1081
111.2	2.89286	29.1081
111.3	2.89286	29.1081
111.4	2.89286	29.1081
111.5	2.89286	29.1081
111.6	2.89286	29.1081
111.7	2.89286	29.027
111.8	2.89286	29.1081
111.9	2.89286	29.1081
112	2.89286	29.1081
112.1	2.89286	29.1081
112.2	2.89286	29.1081
112.3	2.89286	29.1892
112.4	2.89286	29.1892
112.5	2.89286	29.1081
112.6	2.89286	29.1081
112.7	2.89286	29.027
112.8	2.8125	29.027
112.9	2.8125	28.9459
113	2.8125	28.9459
113.1	2.8125	28.9459
113.2	2.8125	28.9459
113.3	2.73214	28.7838
113.4	2.73214	28.7838
113.5	2.65179	28.7027
113.6	2.65179	28.7027
113.7	2.65179	28.7027
113.8	2.65179	28.7838
113.9	2.73214	28.7838
114	2.73214	28.8649
114.1	2.73214	29.1081
114.2	2.73214	29.1081
114.3	2.8125	29.5135
114.4	2.8125	29.5135
114.5	2.73214	30.1622
114.6	2.65179	30.4865
114.7	2.57143	30.6486
114.8	2.65179	30.6486
114.9	2.65179	30.6486
115	2.57143	30.2432
115.1	2.57143	30.2432
115.2	2.8125	29.9189
115.3	3.13393	29.5946
115.4	3.13393	28.6216
115.5	3.05357	28.2973
115.6	3.05357	28.2973
115.7	2.97321	27.8919
115.8	2.97321	27.8108
115.9	2.97321	27.7297
116	2.89286	27.6486
116.1	2.89286	27.3243
116.2	2.8125	26.2703
116.3	2.8125	26.2703
116.4	3.13393	24.3243
116.5	3.29464	23.3514
116.6	3.375	21.4054
116.7	3.29464	19.0541
116.8	3.29464	19.0541
116.9	3.21429	16.1351
117	2.89286	14.3514
117.1	2.89286	14.3514
117.2	2.73214	12.3243
117.3	2.49107	11.3514
117.4	2.33036	11.1081
117.5	2.25	10.7838
117.6	2.49107	10.7838
117.7	2.49107	10.7838
117.8	2.41071	10.7838
117.9	2.41071	10.8649
118	2.41071	10.7838
118.1	2.41071	10.7838
118.2	2.41071	10.7838
118.3	2.41071	10.7838
118.4	2.41071	10.7838
118.5	2.41071	10.7838
118.6	2.41071	10.7838
118.7	2.41071	10.6216
118.8	2.57143	10.5405
118.9	2.73214	10.2973
119	3.05357	9.97297
119.1	3.05357	9.97297
119.2	3.45536	9.32432
119.3	3.61607	9.16216
119.4	4.17857	8.10811
119.5	4.33929	7.45946
119.6	4.33929	7.45946
119.7	4.82143	6.24324
119.8	4.98214	5.83784
119.9	4.58036	5.59459
120	4.41964	5.43243
120.1	4.17857	5.27027
120.2	4.17857	5.27027
120.3	4.09821	5.43243
120.4	4.17857	5.43243
120.5	4.17857	4.86486
120.6	4.09821	4.54054
120.7	4.09821	4.54054
120.8	4.09821	4.45946
120.9	4.33929	4.54054
121	4.17857	4.21622
121.1	4.17857	3.89189
121.2	4.25893	3.64865
121.3	4.41964	3
121.4	4.33929	2.75676
121.5	4.33929	2.75676
121.6	4.25893	2.83784
121.7	4.09821	2.91892
121.8	4.01786	3
121.9	4.01786	3.08108
122	4.01786	3.08108
122.1	4.09821	3.16216
122.2	4.17857	3.24324
122.3	4.5	3.08108
122.4	4.82143	3
122.5	5.14286	3.56757
122.6	5.70536	3.64865
122.7	5.70536	3.64865
122.8	6.83036	3.08108
122.9	8.75893	2.91892
123	10.5268	2.75676
123.1	11.4107	2.59459
123.2	11.4107	2.59459
123.3	13.2589	2.67568
123.4	14.5446	2.91892
123.5	15.2679	3
123.6	15.4286	3
123.7	15.4286	3
123.8	14.7054	3.08108
123.9	14.7054	3.08108
124	14.625	3.16216
124.1	14.7054	3.16216
124.2	14.7054	3.16216
124.3	14.625	3.08108
124.4	14.7054	3.08108
124.5	14.7054	3.08108
124.6	14.7054	3.08108
124.7	14.7054	3.08108
124.8	14.7054	3.08108
124.9	14.7054	3.08108
125	14.7054	3.08108
125.1	14.7054	3.08108
125.2	14.7054	3.08108
125.3	14.7857	3.08108
125.4	14.7857	3.08108
125.5	14.7054	3.08108
125.6	14.7054	3
125.7	14.7857	3.08108
125.8	14.7054	3.08108
125.9	14.8661	3.08108
126	14.8661	3.08108
126.1	14.8661	3.08108
126.2	15.1071	3
126.3	15.1875	2.91892
126.4	15.1875	2.83784
126.5	15.0268	2.75676
126.6	14.7857	2.75676
126.7	14.7857	2.75676
126.8	14.7857	2.75676
126.9	14.625	2.91892
127	14.625	2.91892
127.1	14.7054	2.91892
127.2	14.625	2.91892
127.3	14.7054	2.91892
127.4	14.625	2.91892
127.5	14.7054	2.91892
127.6	14.625	2.91892
127.7	14.625	2.91892
127.8	14.625	2.91892
127.9	14.625	2.91892
128	14.7857	2.91892
128.1	14.7054	2.83784
128.2	14.625	2.83784
128.3	14.7054	2.67568
128.4	14.7054	2.67568
128.5	15.0268	2.51351
128.6	15.0268	2.51351
128.7	14.8661	2.51351
128.8	14.7857	2.51351
128.9	14.7857	2.51351
129	15.1875	2.59459
129.1	15.4286	3
129.2	15.4286	3
129.3	15.4286	3.56757
129.4	15.8304	4.21622
129.5	15.9911	4.62162
129.6	16.6339	6.56757
129.7	16.6339	6.56757
129.8	16.9554	7.45946
129.9	17.3571	9.08108
130	17.4375	9.97297
130.1	16.9554	11.6757
130.2	16.9554	12.4865
130.3	16.9554	14.6757
130.4	16.7946	15.8108
130.5	16.6339	18
130.6	16.3929	20.1081
130.7	16.3929	20.1081
130.8	15.75	22.0541
130.9	15.4286	22.8649
131	15.0268	24.0811
131.1	13.9018	25.5405
131.2	13.9018	25.5405
131.3	12.2143	27.973
131.4	12.2143	27.973
131.5	11.1696	29.3514
131.6	10.3661	29.8378
131.7	10.2857	29.8378
131.8	8.75893	31.5405
131.9	8.75893	31.5405
132	6.75	32.6757
132.1	6.75	32.6757
132.2	5.70536	33.0811
132.3	5.38393	33.3243
